k   	λ^{(k)}         	ζ_{comp}(λ^{(k)}	X_k 	how column ends
49  	16875/143       	1350/13         	58  	above ΛM_{comp}
50  	10561/90        	116171/1125     	56  	above ΛM_{comp}
51  	15403/132       	15403/150       	57  	above ΛM_{comp}
52  	3365/29         	14806/145       	57  	above ΛM_{comp}
53  	14301/124       	157311/1550     	56  	above ΛM_{comp}
54  	13648/119       	300256/2975     	57  	above ΛM_{comp}
55  	15277/134       	168047/1675     	54  	above ΛM_{comp}
56  	5897/52         	64867/650       	56  	above ΛM_{comp}
57  	4171/37         	91762/925       	53  	above ΛM_{comp}
58  	16703/149       	367466/3725     	56  	above ΛM_{comp}
59  	3232/29         	71104/725       	53  	above ΛM_{comp}
60  	8308/75         	182776/1875     	50  	above ΛM_{comp}
61  	8809/80         	96899/1000      	55  	above ΛM_{comp}
62  	10617/97        	233574/2425     	51  	above ΛM_{comp}
63  	11317/104       	124487/1300     	55  	above ΛM_{comp}
64  	2488/23         	54736/575       	52  	above ΛM_{comp}
65  	12797/119       	281534/2975     	51  	above ΛM_{comp}
66  	6947/65         	152834/1625     	53  	above ΛM_{comp}
67  	5419/51         	119218/1275     	49  	above ΛM_{comp}
68  	13836/131       	304392/3275     	51  	above ΛM_{comp}
69  	8401/80         	92411/1000      	51  	above ΛM_{comp}
70  	15332/147       	337304/3675     	51  	above ΛM_{comp}
71  	3836/37         	84392/925       	51  	above ΛM_{comp}
72  	9584/93         	210848/2325     	47  	above ΛM_{comp}
73  	9526/93         	209572/2325     	50  	above ΛM_{comp}
74  	12113/119       	266486/2975     	49  	above ΛM_{comp}
75  	3944/39         	86768/975       	51  	above ΛM_{comp}
76  	14771/147       	324962/3675     	49  	above ΛM_{comp}
77  	6889/69         	151558/1725     	47  	above ΛM_{comp}
78  	10614/107       	233508/2675     	50  	above ΛM_{comp}
79  	12609/128       	138699/1600     	47  	above ΛM_{comp}
80  	2251/23         	49522/575       	50  	above ΛM_{comp}
81  	2041/21         	44902/525       	48  	above ΛM_{comp}
82  	16510/171       	72644/855       	47  	above ΛM_{comp}
